"AUTHOR ID","LAST NAME","FIRST NAME",TOTAL
899-46-2035,Ringer,Anne,75
998-72-3567,Ringer,Albert,75
846-92-7186,Hunter,Sheryl,50
427-17-2319,Dull,Ann,50
807-91-6654,Panteley,Sylvia,40
213-46-8915,Green,Marjorie,35
238-95-7766,Carson,Cheryl,30
722-51-5454,DeFrance,Michel,25
899-46-2035,Ringer,Anne,25
486-29-1786,Locksley,Charlene,25
267-41-2394,O'Leary,Michael,25
998-72-3567,Ringer,Albert,25
724-80-9391,MacFeather,Stearns,25
267-41-2394,O'Leary,Michael,20
472-27-2349,Gringlesby,Burt,20
724-80-9391,MacFeather,Stearns,20
756-30-7391,Karsen,Livia,20
672-71-3249,Yokomoto,Akiko,20
648-92-1872,Blotchet-Halls,Reginald,20
899-46-2035,Ringer,Anne,20
998-72-3567,Ringer,Albert,20
274-80-9391,Straight,Dean,15
722-51-5454,DeFrance,Michel,15
899-46-2035,Ringer,Anne,15
172-32-1176,White,Johnson,15
213-46-8915,Green,Marjorie,10
409-56-7008,Bennet,Abraham,10
712-45-1867,"del Castillo",Innes,10
899-46-2035,Ringer,Anne,10
998-72-3567,Ringer,Albert,10
213-46-8915,Green,Marjorie,5
409-56-7008,Bennet,Abraham,5
899-46-2035,Ringer,Anne,3
998-72-3567,Ringer,Albert,3
341-22-1782,Smith,Meander,0
486-29-1786,Locksley,Charlene,0
893-72-1158,McBadden,Heather,0
724-08-9931,Stringer,Dirk,0
527-72-3246,Greene,Morningstar,0
